,STATUSVID,ALDER,FORBESK,TID,INDHOLD
1455,FULDFØRT VIDEREGÅENDE UDDANNELSE,I alt,Begge forældre beskæftiget,2017,429458
1468,FULDFØRT VIDEREGÅENDE UDDANNELSE,I alt,En forælder beskæftiget,2017,85570
1481,FULDFØRT VIDEREGÅENDE UDDANNELSE,I alt,Ingen forælder beskæftiget,2017,20011
1494,FULDFØRT VIDEREGÅENDE UDDANNELSE,I alt,Uoplyst,2017,30640
2885,IGANGVÆRENDE VIDEREGÅENDE UDDANNELSE,I alt,Begge forældre beskæftiget,2017,36235
2898,IGANGVÆRENDE VIDEREGÅENDE UDDANNELSE,I alt,En forælder beskæftiget,2017,10867
2911,IGANGVÆRENDE VIDEREGÅENDE UDDANNELSE,I alt,Ingen forælder beskæftiget,2017,4337
2924,IGANGVÆRENDE VIDEREGÅENDE UDDANNELSE,I alt,Uoplyst,2017,11506
4315,INGEN VIDEREGÅENDE UDDANNELSE,I alt,Begge forældre beskæftiget,2017,399987
4328,INGEN VIDEREGÅENDE UDDANNELSE,I alt,En forælder beskæftiget,2017,155879
4341,INGEN VIDEREGÅENDE UDDANNELSE,I alt,Ingen forælder beskæftiget,2017,60443
4354,INGEN VIDEREGÅENDE UDDANNELSE,I alt,Uoplyst,2017,20718
5745,AFBRUDT VIDEREGÅENDE UDDANNELSE,I alt,Begge forældre beskæftiget,2017,53147
5758,AFBRUDT VIDEREGÅENDE UDDANNELSE,I alt,En forælder beskæftiget,2017,16173
5771,AFBRUDT VIDEREGÅENDE UDDANNELSE,I alt,Ingen forælder beskæftiget,2017,5107
5784,AFBRUDT VIDEREGÅENDE UDDANNELSE,I alt,Uoplyst,2017,4603
7175,UOPLYST,I alt,Begge forældre beskæftiget,2017,1234
7188,UOPLYST,I alt,En forælder beskæftiget,2017,1999
7201,UOPLYST,I alt,Ingen forælder beskæftiget,2017,3326
7214,UOPLYST,I alt,Uoplyst,2017,171317
